Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2019,4,Mendoza,"96,678.00","49,711.00","24,989.00","13,672.00",730.00,"18,578.00"
2019,4,Misiones,"53,116.00","69,676.00",847.00,441.00,"11,733.00","135,813.00"
2019,4,Neuquén,"29,826.00","6,097.00","10,549.00","14,246.00",854.00,"116,445.00"
2019,4,Río Negro,"49,747.00","37,933.00","9,658.00","11,437.00","18,365.00","12,714.00"
2019,4,Salta,"63,272.00","76,062.00","21,865.00",304.00,"8,206.00","172,445.00"
2019,4,San Juan,"4,136.00","6,338.00","4,931.00","7,241.00","5,104.00","64,974.00"
2019,4,San Luis,"8,569.00","8,027.00",6.00,"55,266.00","36,333.00","108,201.00"
2019,4,Santa Cruz,"13,264.00","15,899.00","1,036.00",68.00,"2,371.00","3,937.00"
2019,4,Santa Fe,"312,072.00","382,254.00","27,464.00","26,978.00","20,401.00","769,169.00"
2019,4,Santiago Del Estero,"24,682.00","71,239.00",200.00,281.00,"4,657.00","103,588.00"
2019,4,Tierra Del Fuego,"13,261.00","26,821.00",0.00,0.00,310.00,"40,392.00"
2019,4,Tucumán,"146,985.00","11,012.00","39,574.00",725.00,348.00,"198,644.00"
2019 *,3 *,Buenos Aires,"1,277,249.00","2,144,956.00","425,386.00","85,572.00","2,707.00","3,960,233.00"
2019 *,3 *,Capital Federal,"300,288.00","1,080,973.00",249.00,"3,895.00","31,155.00","1,441,211.00"
2019 *,3 *,Catamarca,"24,349.00","5,543.00",13.00,244.00,"2,251.00",324.00
2019 *,3 *,Chaco,"50,416.00","49,156.00","8,063.00","5,224.00","1,592.00","114,451.00"
2019 *,3 *,Chubut,"37,298.00","2,709.00","1,917.00","15,149.00","7,551.00","89,005.00"
2019 *,3 *,Córdoba,"30,778.00","399,231.00","30,064.00","37,277.00","8,701.00","783,053.00"
2019 *,3 *,Corrientes,"53,344.00","5,023.00","1,888.00","2,458.00","4,839.00","112,759.00"
2019 *,3 *,Entre Ríos,"94,947.00","96,305.00","12,888.00","1,853.00","15,432.00","238,102.00"
2019 *,3 *,Formosa,"21,777.00","8,359.00","1,476.00","14,292.00",162.00,"46,066.00"
