Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
2020,3,Capital Federal,264.00,312.00,"162,222.00","85,083.00","68,753.00","78,028.00","977,766.00",247.00,"1,372,675.00"
2020,3,Catamarca,63.00,0.00,"8,276.00","8,768.00","11,195.00",562.00,"18,886.00","2,154.00","49,904.00"
2020,3,Chaco,308.00,112.00,"24,675.00","21,639.00","27,546.00","13,751.00","38,729.00","7,194.00","133,954.00"
2020,3,Chubut,158.00,109.00,"87,559.00","22,114.00","12,217.00","2,818.00",111.00,"3,942.00","130,027.00"
2020,3,Córdoba,168.00,"3,064.00","218,599.00","124,833.00","84,236.00","63,823.00","361,021.00","11,728.00","867,472.00"
2020,3,Corrientes,72.00,527.00,"3,519.00","23,315.00","25,308.00","8,615.00","25,344.00",502.00,"123,391.00"
2020,3,Entre Ríos,130.00,"2,911.00","66,648.00","51,478.00","40,797.00","14,377.00","49,395.00","15,759.00","241,495.00"
2020,3,Formosa,391.00,151.00,"23,163.00","7,432.00","7,125.00",991.00,"8,219.00","1,737.00","49,209.00"
2020,3,Jujuy,55.00,182.00,"32,131.00","10,566.00","45,198.00",293.00,"15,238.00","3,065.00","106,728.00"
2020,3,La Pampa,293.00,810.00,"66,695.00",782.00,"5,577.00","2,189.00","6,322.00","4,029.00","93,735.00"
2020,3,La Rioja,21.00,1.00,"37,105.00","5,955.00",466.00,124.00,"4,748.00",2.00,"52,616.00"
2020,3,Mendoza,58.00,40.00,"141,404.00","12,123.00","42,433.00","3,448.00","8,237.00",45.00,"207,788.00"
2020,3,Misiones,71.00,524.00,"39,005.00","24,215.00","25,942.00","13,663.00","30,987.00","8,779.00","143,186.00"
2020,3,Neuquén,218.00,327.00,"60,463.00","6,561.00","5,975.00","5,449.00","49,439.00",803.00,"129,235.00"
2020,3,Río Negro,114.00,466.00,"68,986.00","3,769.00","7,096.00","3,455.00","28,488.00","19,093.00","131,467.00"
2020,3,Salta,129.00,514.00,"3,278.00","64,736.00","1,599.00","7,928.00","43,773.00","14,996.00","180,846.00"
2020,3,San Juan,48.00,194.00,"65,526.00",711.00,"6,529.00",41.00,128.00,415.00,"77,327.00"
2020,3,San Luis,105.00,0.00,"12,199.00","3,351.00","2,666.00","61,319.00",8.00,"36,917.00","116,565.00"
2020,3,Santa Cruz,66.00,0.00,"26,888.00","4,015.00",673.00,629.00,120.00,833.00,"39,281.00"
2020,3,Santa Fe,568.00,"1,241.00","213,353.00","199,381.00","92,095.00","58,797.00","210,562.00","27,001.00","802,998.00"
2020,3,Santiago Del Estero,133.00,909.00,"33,287.00","57,418.00","4,658.00",292.00,"3,994.00","4,801.00","105,492.00"
2020,3,Tierra Del Fuego,11.00,0.00,"22,094.00","5,414.00","3,726.00",481.00,937.00,"6,992.00","39,655.00"
2020,3,Tucumán,52.00,97.00,"45,913.00","5,461.00","33,126.00","3,246.00","84,195.00","2,637.00","223,876.00"
2020,2,Buenos Aires,"37,542.00","31,606.00","1,129,236.00","241,336.00","233,132.00","188,995.00","1,894,466.00","21,233.00","3,777,546.00"
2020,2,Capital Federal,264.00,312.00,"166,474.00","94,585.00","79,858.00","8,016.00","935,481.00",687.00,"1,357,821.00"
2020,2,Catamarca,63.00,0.00,"8,801.00",869.00,"10,242.00",426.00,"16,578.00","3,176.00","47,976.00"
2020,2,Chaco,308.00,928.00,"2,435.00","2,114.00","29,044.00","12,082.00","33,311.00","6,969.00","128,132.00"
2020,2,Chubut,158.00,109.00,"69,578.00","22,188.00","10,537.00","1,473.00",614.00,"3,999.00","108,656.00"
2020,2,Córdoba,168.00,"4,383.00","219,025.00","125,932.00","8,953.00","63,216.00","325,243.00","8,971.00","836,468.00"
2020,2,Corrientes,72.00,527.00,"34,242.00","22,845.00","25,844.00","7,898.00","22,418.00",502.00,"118,866.00"
2020,2,Entre Ríos,130.00,"3,679.00","66,758.00","5,064.00","4,209.00","12,856.00","43,391.00","14,569.00","234,113.00"
2020,2,Formosa,391.00,151.00,"23,534.00","7,109.00","6,998.00",961.00,"7,475.00","1,313.00","47,932.00"
2020,2,Jujuy,55.00,182.00,"30,548.00","10,519.00","26,829.00",209.00,"9,417.00","16,557.00","94,316.00"
2020,2,La Pampa,293.00,810.00,"71,218.00","7,531.00",38.00,"1,657.00","3,377.00","1,123.00","89,809.00"
2020,2,La Rioja,21.00,1.00,"37,375.00","5,661.00","4,686.00",73.00,"4,336.00",2.00,"52,155.00"
2020,2,Mendoza,58.00,40.00,"142,253.00","12,439.00","35,274.00","3,248.00","5,422.00",245.00,"201,184.00"
2020,2,Misiones,71.00,524.00,"39,867.00","23,719.00","26,445.00","12,305.00","28,763.00","8,646.00","14,034.00"
2020,2,Neuquén,218.00,327.00,"61,171.00","6,103.00","6,625.00","5,296.00","46,432.00",0.00,"126,172.00"
2020,2,Río Negro,114.00,466.00,"70,817.00","3,335.00","7,498.00","3,246.00","26,953.00","17,057.00","129,486.00"
2020,2,Salta,129.00,514.00,"41,801.00","64,463.00","16,989.00","7,741.00","39,594.00","6,531.00","177,762.00"
2020,2,San Juan,48.00,194.00,"59,113.00",917.00,"4,908.00",40.00,127.00,443.00,"69,777.00"
2020,2,San Luis,105.00,0.00,"11,439.00","3,585.00","1,934.00","60,889.00",8.00,"35,992.00","113,952.00"
2020,2,Santa Cruz,66.00,0.00,"26,938.00","4,166.00","6,541.00",546.00,119.00,493.00,"38,869.00"
